Underlying Asset,Margin Mode,Leverage,Order Time,Side,Avg Fill,Price,Filled,Total,PNL,PNL%,Fee,Order Options,Reduce-only,Status
XRPUSDT,Isolated,6,01/13/2026 22:47:22,Sell,2.0865 USDT,Market,1191 XRP,1191 XRP,16.684 USDT,4.0555067712305502%,1.24251575 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,5,01/13/2026 22:47:13,Sell,2.421 USDT,Market,844.3 RENDER,844.3 RENDER,22.7961 USDT,5.6390977443609025%,1.02202515 USDT,GTC,Y,Filled
XRPUSDT,Isolated,6,01/13/2026 02:09:17,Buy,2.0725 USDT,Market,1191 XRP,1191 XRP,--,--,1.23417375 USDT,GTC,N,Filled
XRPUSDT,Isolated,6,01/13/2026 01:35:17,Sell(SL),2.0526 USDT,Market,1200 XRP,1200 XRP,4.92 USDT,1.2008786917256532%,1.23156 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,5,01/12/2026 22:33:00,Buy,2.394 USDT,Market,844.3 RENDER,844.3 RENDER,--,--,1.0106271 USDT,GTC,N,Filled
XRPUSDT,Isolated,6,01/12/2026 20:42:21,Buy,2.0485 USDT,2.0492 USDT,1200 XRP,1200 XRP,--,--,1.2291 USDT,GTC,N,Filled
RENDERUSDT,Isolated,5,01/12/2026 10:43:55,Sell(SL),2.591 USDT,Market,1500 RENDER,1500 RENDER,2.3052 USDT,0.2966795366795365%,1.9436526 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,5,01/12/2026 09:31:57,Buy,2.59 USDT,2.59 USDT,1500 RENDER,1500 RENDER,--,--,0.2331 USDT,GTC,N,Filled
RENDERUSDT,Isolated,5,01/12/2026 09:30:15,Sell(SL),2.616 USDT,Market,1568.3 RENDER,1568.3 RENDER,3.1366 USDT,0.382555470543229%,2.0513364 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,5,01/12/2026 04:15:21,Buy,2.614 USDT,2.614 USDT,1568.3 RENDER,1568.3 RENDER,--,--,0.24597217 USDT,GTC,N,Filled
RENDERUSDT,Isolated,5,01/12/2026 04:05:12,Sell(SL),2.608 USDT,Market,1053.2 RENDER,1053.2 RENDER,344.64120000000000112 USDT,71.73734830176407%,1.3733728 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,5,01/11/2026 12:41:28,Buy,2.285 USDT,2.285 USDT,176 RENDER,176 RENDER,--,--,0.0241296 USDT,GTC,N,Filled
POWERUSDT,Isolated,8,01/11/2026 12:14:15,Sell(SL),0.16058 USDT,Market,5230 POWER,5230 POWER,-26.986 USDT,-24.905741698220692%,0.4199171 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,5,01/11/2026 07:38:40,Buy,2.277 USDT,2.277 USDT,237.2 RENDER,237.2 RENDER,--,--,0.2700522 USDT,GTC,N,Filled
POWERUSDT,Isolated,8,01/10/2026 20:52:50,Buy,0.16574 USDT,0.16574 USDT,5230 POWER,5230 POWER,--,--,0.05200921 USDT,GTC,N,Filled
POWERUSDT,Isolated,10,01/10/2026 20:51:21,Sell(SL),0.16813 USDT,Market,7950 POWER,7950 POWER,-61.7272999999999793 USDT,-44.14020480434907%,0.6683549 USDT,GTC,Y,Filled
POWERUSDT,Isolated,10,01/10/2026 20:40:40,Buy,0.1759 USDT,0.17952 USDT,7950 POWER,7950 POWER,--,--,0.69921855 USDT,GTC,N,Filled
XRPUSDT,Isolated,10,01/10/2026 20:39:10,Sell,2.1038 USDT,Market,1379 XRP,1379 XRP,-16.1343 USDT,-5.530607421413377%,1.4505701 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,5,01/10/2026 02:43:48,Buy,2.281 USDT,2.298 USDT,640 RENDER,640 RENDER,--,--,0.72992 USDT,GTC,N,Filled
RENDERUSDT,Isolated,5,01/10/2026 02:28:05,Sell(SL),2.257 USDT,Market,645 RENDER,645 RENDER,6.4962 USDT,2.241127705157264%,0.7279056 USDT,GTC,Y,Filled
XRPUSDT,Isolated,10,01/10/2026 00:00:21,Buy,2.1155 USDT,2.1155 USDT,1379 XRP,1379 XRP,--,--,0.17503647 USDT,GTC,N,Filled
XRPUSDT,Isolated,10,01/09/2026 23:55:01,Sell(SL),2.1053 USDT,Market,1378 XRP,1378 XRP,5.0108 USDT,1.73016342496395%,1.4505767 USDT,GTC,Y,Filled
XRPUSDT,Isolated,10,01/09/2026 20:07:26,Buy,2.1017 USDT,2.1019 USDT,1378 XRP,1378 XRP,--,--,1.4480713 USDT,GTC,N,Filled
RENDERUSDT,Isolated,5,01/09/2026 20:04:39,Buy,2.247 USDT,2.247 USDT,645 RENDER,645 RENDER,--,--,0.0869589 USDT,GTC,N,Filled
RENDERUSDT,Isolated,8,01/09/2026 09:22:16,Sell(SL),2.151 USDT,Market,2350.8 RENDER,2350.8 RENDER,-56.4192 USDT,-8.827586206896552%,2.5282854 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,8,01/09/2026 06:40:54,Buy,2.175 USDT,2.175 USDT,2350.8 RENDER,2350.8 RENDER,--,--,0.3067794 USDT,GTC,N,Filled
RENDERUSDT,Isolated,8,01/09/2026 06:38:29,Sell(SL),2.176 USDT,Market,2311.6 RENDER,2311.6 RENDER,14.9735 USDT,2.3880361359219736%,2.51557275 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,8,01/09/2026 04:19:33,Buy,2.17 USDT,2.17 USDT,2311.6 RENDER,2311.6 RENDER,--,--,0.30097032 USDT,GTC,N,Filled
RENDERUSDT,Isolated,10,01/09/2026 04:04:02,Sell(SL),2.163 USDT,Market,596.6 RENDER,596.6 RENDER,1.1932 USDT,0.925497454881999%,0.6452229 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,10,01/08/2026 17:46:37,Buy,2.161 USDT,2.173 USDT,596.6 RENDER,596.6 RENDER,--,--,0.6446263 USDT,GTC,N,Filled
RENDERUSDT,Isolated,10,01/08/2026 17:41:18,Sell(SL),2.155 USDT,Market,902.6 RENDER,902.6 RENDER,-70.4668 USDT,-34.946690362924495%,0.9729708 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,10,01/08/2026 16:17:04,Buy,2.234 USDT,2.235 USDT,902.6 RENDER,902.6 RENDER,--,--,1.0082042 USDT,GTC,N,Filled
RENDERUSDT,Isolated,10,01/08/2026 09:12:50,Buy,2.237 USDT,Market,873.3 RENDER,873.3 RENDER,4.873799999999999824 USDT,2.488605888985751%,0.97678605 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,10,01/08/2026 09:04:28,Sell,2.242 USDT,2.238 USDT,873.3 RENDER,873.3 RENDER,--,--,0.97922295 USDT,GTC,N,Filled
RENDERUSDT,Isolated,10,01/08/2026 08:24:05,Buy,2.201 USDT,Market,409.8 RENDER,409.8 RENDER,97.1226 USDT,97.210828547990156%,0.4509849 USDT,GTC,Y,Filled
RENDERUSDT,Isolated,10,01/07/2026 01:32:57,Sell,2.438 USDT,2.436 USDT,409.8 RENDER,409.8 RENDER,--,--,0.4995462 USDT,GTC,N,Filled
SOLUSDT,Isolated,15,01/06/2026 23:28:57,Sell,142.85 USDT,Market,6.33 SOL,6.33 SOL,45.7026 USDT,79.8495907984959075%,0.45212025 USDT,GTC,Y,Filled
SOLUSDT,Isolated,15,01/05/2026 18:35:14,Buy,135.63 USDT,135.75 USDT,6.33 SOL,6.33 SOL,--,--,0.42926895 USDT,GTC,N,Filled
SOLUSDT,Isolated,15,01/05/2026 09:07:17,Buy(SL),135.94 USDT,Market,17.44 SOL,17.44 SOL,-94.958 USDT,-62.5843614889802805%,1.185439 USDT,GTC,Y,Filled
SOLUSDT,Isolated,15,01/03/2026 17:14:13,Sell,130.5 USDT,130.5 USDT,17.44 SOL,17.44 SOL,--,--,0.1365552 USDT,GTC,N,Filled
SOLUSDT,Isolated,20,01/03/2026 00:15:41,Sell,130.31 USDT,Market,11.39 SOL,11.39 SOL,63.784 USDT,89.808355384492022%,0.74211545 USDT,GTC,Y,Filled
SOLUSDT,Isolated,20,01/01/2026 01:02:08,Buy,124.71 USDT,Market,11.39 SOL,11.39 SOL,--,--,0.71022345 USDT,GTC,N,Filled
SOLUSDT,Isolated,20,12/31/2025 14:56:40,Sell,125.84 USDT,Market,8.72 SOL,8.72 SOL,24.6776 USDT,46.012519307373384%,0.5486624 USDT,GTC,Y,Filled
SOLUSDT,Isolated,20,12/23/2025 23:34:40,Buy,123.01 USDT,Market,8.72 SOL,8.72 SOL,--,--,0.5363236 USDT,GTC,N,Filled
SOLUSDT,Isolated,10,12/23/2025 23:33:12,Buy,123.05 USDT,Market,4.65 SOL,4.65 SOL,-2.0925 USDT,-3.67047308319739%,0.28609125 USDT,GTC,Y,Filled
SOLUSDT,Isolated,10,12/23/2025 22:54:25,Sell,122.6 USDT,Market,4.65 SOL,4.65 SOL,--,--,0.285045 USDT,GTC,N,Filled
